,AAPL,AMZN,GOOGL,MSFT
2018-01-02,40.52077211694979,59.83343159071324,53.98791915787674,79.82072356827958
2018-01-03,40.5767013419317,60.81128034348431,55.127895366368776,80.49088857349719
2018-01-04,40.91102901615025,61.07107128433738,55.23708846358045,81.39402011086344
2018-01-05,41.353584761756075,62.186572681495356,55.82623223289305,82.32564288121836
2018-01-08,41.151169006337156,63.06726685625156,55.98634221099362,82.33743266228258
2018-01-09,41.086712859863546,63.204628231951105,55.78239415639019,82.07577272099383
2018-01-10,41.08543532801128,63.282594534485575,55.532490314738084,81.6207018082152
2018-01-11,41.36223779463428,64.54009735598108,55.6565028330156,81.90598250566454
2018-01-12,41.74680684500275,66.01593039892897,56.430424413939356,83.03600361685736
2018-01-16,41.66322658653332,65.86552962282612,56.749893812794305,82.38987051903742
2018-01-17,42.26829662832335,65.13907512432613,57.028876746752054,83.65350763567588
2018-01-18,42.33839217130977,64.97773853993912,57.093658438571,83.7725749044186
2018-01-19,42.10656697911329,65.15846304322625,57.35371181572187,83.89699585694692
2018-01-22,41.7083813587553,66.95200893683908,58.353637172757466,85.00869750514549
2018-01-23,41.684210375723055,68.76636511267687,59.03145960741467,85.71477313766829
2018-01-24,40.89005418353643,68.5540831346282,58.84833296737234,85.31755896987816
2018-01-25,40.229142976458554,69.56179226317396,59.33401885399666,86.25466489659382
2018-01-26,40.13760889635963,70.8253444930283,59.50179609051174,87.2512385507273
2018-01-29,39.40330922111375,71.67930396377284,59.525850954557086,87.50796559462232
2018-01-30,39.0652815518563,72.70814882781896,58.93467011657819,86.68918028497585
2018-01-31,39.23187282089695,73.09646818512148,59.106825798568586,88.13897661131183
2018-02-01,39.21929126946136,70.10358654128912,58.81660747665448,87.65783965470067
2018-02-02,37.53820121008493,71.75859727141672,55.97238780797823,85.48864246226951
2018-02-05,36.6766594067864,70.08280945839478,52.788831526552244,82.23487025107585
2018-02-06,37.923579248774374,72.40242242180193,53.00616789356526,84.00001779676589
2018-02-07,37.30535628986721,71.22139541564194,51.90242103617917,82.77184479103158
2018-02-08,36.28605997622067,67.55692808185505,49.72400857055207,79.5572112588871
2018-02-09,36.77013030534361,67.0014226851146,51.28638692872004,80.86522664813519
2018-02-12,38.19038966015761,69.51359911198722,52.302717096875014,82.32692129731954
2018-02-13,38.62798571726692,71.06691514973382,52.69860218849033,82.93616526446635
2018-02-14,39.61794064804924,73.07332296077023,53.69970922059721,84.73537721196793
2018-02-15,40.8187798185919,73.33658623150126,54.68861141937968,85.92914702542754
2018-02-16,40.82175162319861,72.93233999638933,54.82690303806429,85.78074576133262
2018-02-20,40.61408384114522,73.78908130732154,55.05051394402631,86.76088576194358
2018-02-21,40.570692032227576,74.53848705412665,55.320037672041025,85.13629193465712
2018-02-22,40.7728630268466,74.74877233915413,55.277157303135866,85.78550813027695
2018-02-23,41.48703625425863,75.41977429322992,56.071629951925665,87.30330596240836
2018-02-26,42.39428564469757,76.58990119109164,57.108657937950994,89.06537057700355
2018-02-27,42.295246979346054,75.99557053453721,56.23036567039107,87.77395863046445
2018-02-28,42.200769797851855,76.03642196962268,55.33203337053923,88.03971680947949
2018-03-01,41.48146685198296,75.00184493161518,53.67804852108701,86.44549070958635
