Date,AAPL,AMZN,GOOGL,MSFT
2018-01-02,43.064998626708984,59.45050048828125,53.660499572753906,85.94999694824219
2018-01-03,43.057498931884766,60.209999084472656,54.57600021362305,86.3499984741211
2018-01-04,43.25749969482422,60.47949981689453,54.78799819946289,87.11000061035156
2018-01-05,43.75,61.457000732421875,55.51449966430664,88.19000244140625
2018-01-08,43.587501525878906,62.34349822998047,55.71049880981445,88.27999877929688
2018-01-09,43.58250045776367,62.6349983215332,55.63949966430664,88.22000122070312
2018-01-10,43.5724983215332,62.71649932861328,55.50699996948242,87.81999969482422
2018-01-11,43.81999969482422,63.83399963378906,55.602500915527344,88.08000183105469
2018-01-12,44.272499084472656,65.26000213623047,56.532501220703125,89.5999984741211
2018-01-16,44.04750061035156,65.24299621582031,56.53499984741211,88.3499984741211
2018-01-17,44.775001525878906,64.75,56.95500183105469,90.13999938964844
2018-01-18,44.814998626708984,64.66600036621094,56.798500061035156,90.0999984741211
2018-01-19,44.6150016784668,64.72899627685547,57.17499923706055,90.0
2018-01-22,44.25,66.3655014038086,58.20800018310547,91.61000061035156
2018-01-23,44.2599983215332,68.12699890136719,58.80849838256836,91.9000015258789
2018-01-24,43.55500030517578,67.87550354003906,58.56449890136719,91.81999969482422
2018-01-25,42.77750015258789,68.89749908447266,59.106998443603516,92.33000183105469
2018-01-26,42.877498626708984,70.10250091552734,59.37799835205078,94.05999755859375
2018-01-29,41.9900016784668,70.88400268554688,59.32400131225586,93.91999816894531
2018-01-30,41.74250030517578,71.89099884033203,58.868499755859375,92.73999786376953
2018-01-31,41.85749816894531,72.54450225830078,59.111000061035156,95.01000213623047
2018-02-01,41.94499969482422,69.5,59.079498291015625,94.26000213623047
2018-02-02,40.125,71.49749755859375,55.959999084472656,91.77999877929688
2018-02-05,39.122501373291016,69.5,53.11949920654297,88.0
2018-02-06,40.75749969482422,72.14199829101562,54.221500396728516,91.33000183105469
2018-02-07,39.8849983215332,70.83899688720703,52.77050018310547,89.61000061035156
2018-02-08,38.787498474121094,67.5250015258789,50.385501861572266,85.01000213623047
2018-02-09,39.102500915527344,66.9800033569336,52.313499450683594,88.18000030517578
2018-02-12,40.6775016784668,69.3115005493164,52.72800064086914,89.12999725341797
2018-02-13,41.084999084472656,70.72550201416016,52.707000732421875,89.83000183105469
2018-02-14,41.842498779296875,72.55249786376953,53.6349983215332,90.80999755859375
2018-02-15,43.247501373291016,73.08799743652344,54.56800079345703,92.66000366210938
2018-02-16,43.10749816894531,72.43450164794922,54.775001525878906,92.0
2018-02-20,42.962501525878906,73.4175033569336,55.179500579833984,92.72000122070312
2018-02-21,42.76750183105469,74.14600372314453,55.6875,91.48999786376953
2018-02-22,43.125,74.26699829101562,55.494998931884766,91.7300033569336
2018-02-23,43.875,75.0,56.40449905395508,94.05999755859375
2018-02-26,44.74250030517578,76.09750366210938,57.185001373291016,95.41999816894531
2018-02-27,44.59749984741211,75.5989990234375,55.8754997253418,94.19999694824219
2018-02-28,44.529998779296875,75.62249755859375,55.19599914550781,93.7699966430664
2018-03-01,43.75,74.67250061035156,53.570499420166016,92.8499984741211
2018-03-02,44.0525016784668,75.01249694824219,54.207000732421875,93.05000305175781
2018-03-05,44.20500183105469,76.18049621582031,54.737998962402344,93.63999938964844
2018-03-06,44.16749954223633,76.88200378417969,55.04499816894531,93.31999969482422
2018-03-07,43.75749969482422,77.25,55.75199890136719,93.86000061035156
2018-03-08,44.23500061035156,77.59300231933594,56.46900177001953,94.43000030517578
2018-03-09,44.994998931884766,78.94450378417969,58.04199981689453,96.54000091552734
2018-03-12,45.43000030517578,79.91950225830078,58.29650115966797,96.7699966430664
2018-03-13,44.99250030517578,79.40899658203125,56.99549865722656,94.41000366210938
2018-03-14,44.61000061035156,79.55000305175781,57.44449996948242,93.8499984741211
2018-03-15,44.662498474121094,79.11599731445312,57.53049850463867,94.18000030517578
2018-03-16,44.505001068115234,78.58399963378906,56.72100067138672,94.5999984741211
2018-03-19,43.82500076293945,77.24649810791016,55.003501892089844,92.88999938964844
2018-03-20,43.810001373291016,79.32550048828125,54.790000915527344,93.12999725341797
2018-03-21,42.817501068115234,79.09300231933594,54.70000076293945,92.4800033569336
2018-03-22,42.212501525878906,77.24600219726562,52.657501220703125,89.79000091552734
2018-03-23,41.23500061035156,74.77799987792969,51.32749938964844,87.18000030517578
2018-03-26,43.192501068115234,77.79299926757812,52.704498291015625,93.77999877929688
2018-03-27,42.084999084472656,74.85250091552734,50.34700012207031,89.47000122070312
2018-03-28,41.619998931884766,71.57099914550781,50.25899887084961,89.38999938964844
2018-03-29,41.94499969482422,72.36699676513672,51.856998443603516,91.2699966430664
2018-04-02,41.66999816894531,68.59950256347656,50.631500244140625,88.5199966430664
2018-04-03,42.09749984741211,69.60250091552734,50.933998107910156,89.70999908447266
2018-04-04,42.90250015258789,70.52850341796875,51.48550033569336,92.33000183105469
2018-04-05,43.20000076293945,72.5875015258789,51.63199996948242,92.37999725341797
2018-04-06,42.095001220703125,70.2614974975586,50.497501373291016,90.2300033569336
2018-04-09,42.51250076293945,70.30400085449219,51.00450134277344,90.7699966430664
2018-04-10,43.3125,71.81099700927734,51.82500076293945,92.87999725341797
2018-04-11,43.11000061035156,71.35250091552734,51.25299835205078,91.86000061035156
2018-04-12,43.53499984741211,72.42500305175781,51.864498138427734,93.58000183105469
2018-04-13,43.682498931884766,71.53949737548828,51.801998138427734,93.08000183105469
2018-04-16,43.95500183105469,72.07499694824219,52.30500030517578,94.16999816894531
2018-04-17,44.560001373291016,75.19149780273438,53.96799850463867,96.06999969482422
2018-04-18,44.459999084472656,76.39199829101562,53.769500732421875,96.44000244140625
2018-04-19,43.20000076293945,77.84549713134766,54.47249984741211,96.11000061035156
2018-04-20,41.43000030517578,76.37449645996094,53.86600112915039,95.0
2018-04-23,41.310001373291016,75.89299774169922,53.69049835205078,95.3499984741211
2018-04-24,40.73500061035156,73.00450134277344,51.13199996948242,93.12000274658203
2018-04-25,40.912498474121094,73.00849914550781,51.14950180053711,92.30999755859375
2018-04-26,41.05500030517578,75.89800262451172,52.16550064086914,94.26000213623047
2018-04-27,40.58000183105469,78.63099670410156,51.5724983215332,95.81999969482422
2018-04-30,41.314998626708984,78.30650329589844,50.92900085449219,93.5199966430664
2018-05-01,42.275001525878906,79.11299896240234,52.037498474121094,95.0
2018-05-02,44.14250183105469,78.48400115966797,51.3025016784668,93.51000213623047
2018-05-03,44.22249984741211,78.60399627685547,51.314998626708984,94.06999969482422
2018-05-04,45.95750045776367,79.04750061035156,52.54999923706055,95.16000366210938
2018-05-07,46.290000915527344,80.00700378417969,52.972999572753906,96.22000122070312
2018-05-08,46.51250076293945,79.61949920654297,52.929500579833984,95.80999755859375
2018-05-09,46.84000015258789,80.4000015258789,54.4474983215332,96.94000244140625
2018-05-10,47.5099983215332,80.4540023803711,55.27349853515625,97.91000366210938
2018-05-11,47.147499084472656,80.14550018310547,55.16899871826172,97.69999694824219
2018-05-14,47.037498474121094,80.0770034790039,55.33000183105469,98.02999877929688
2018-05-15,46.61000061035156,78.80599975585938,54.243499755859375,97.31999969482422
